07-29 16:24:40.190 I/[APP][Time](27331): Init using time: 58 ms, current time: 1406622280198 ms
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::122 @#@#log pWorkPath: /data/data/com.visualon.AppUI/lib/
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::287 @#@#log szDll: /data/data/com.visualon.AppUI/lib/libvoLogSys.so
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::308 @#@#log voLoadModule(0x0a030000)(0xb000fa2c, 0x531a6714, 0x531a6728, 0x531a6740, 0x531a6754)
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::143 @#@#log maxlevel: 4
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 961, ccACP_Level 2
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 962, DwightCavendish_Enabled 1
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 963, HDCP_Enabled 1
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 964, ccCGMS_A_Level 3
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 965, CIT_Analog_Enabled 1
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 966, CIT_Digital_Enabled 1
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.344 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 967, DOT_Enabled 0
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.344 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 968, Anti_Mirroring_Enabled 0
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.346 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OperatorData, 987, bGlobal 0, dataSize 257, data 
07-29 16:24:47.340 I/VOLOG   (27331): 16:24:47.349 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, KeyRetrievalStatus, 954, url https://public-ott-nodrm.verimatrix.com/CAB/keyfile?r=31&t=VOD&p=0, status 0
07-29 16:24:47.420 I/VOLOG   (27331): 16:24:47.432 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 831, VR Decrypt- 0 601600
07-29 16:24:47.420 I/VOLOG   (27331): 16:24:47.432 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 836, pData 0x5bea1008, nSize 601600, dS 601600
07-29 16:24:47.820 I/VOLOG   (27331): 16:24:47.837 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 2, e_source_format 8100
07-29 16:24:47.820 I/VOLOG   (27331): 16:24:47.837 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 799, +lock 4
07-29 16:24:47.820 I/VOLOG   (27331): 16:24:47.837 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 801, -lock 4
07-29 16:24:47.820 I/VOLOG   (27331): 16:24:47.837 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 826, IV 0xe6, 0x5a, 0x6a, 0xff, 0x52, 0x35, 0x66, 0xe, 0x48, 0x0, 0x14, 0x39, 0x92, 0x2e, 0xfe, 0xad
07-29 16:24:47.820 I/VOLOG   (27331): 16:24:47.837 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 829, VR Decrypt+ 492944
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 959, ConfigureOutputControlSettings
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 960, BestEffort_Enabled 1
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 961, ccACP_Level 2
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 962, DwightCavendish_Enabled 1
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 963, HDCP_Enabled 1
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 964, ccCGMS_A_Level 3
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 965, CIT_Analog_Enabled 1
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 966, CIT_Digital_Enabled 1
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 967, DOT_Enabled 0
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.912 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 968, Anti_Mirroring_Enabled 0
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.914 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OperatorData, 987, bGlobal 0, dataSize 257, data 
07-29 16:24:47.900 I/VOLOG   (27331): 16:24:47.914 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, KeyRetrievalStatus, 954, url https://public-ott-nodrm.verimatrix.com/CAB/keyfile?r=31&t=VOD&p=0, status 0
07-29 16:24:47.970 I/VOLOG   (27331): 16:24:47.983 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 831, VR Decrypt- 0 492944
07-29 16:24:47.970 I/VOLOG   (27331): 16:24:47.983 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 836, pData 0x5bea1008, nSize 492944, dS 492944
07-29 16:24:47.970 I/VOLOG   (27331): 16:24:47.983 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 841, DstSize 492936, Size 492944, last data 0x8
07-29 16:24:48.200 I/VOLOG   (27331): 16:24:48.213 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 2, e_source_format 8100
07-29 16:24:48.200 I/VOLOG   (27331): 16:24:48.213 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CloseChunkDRMInfo, 935, +lock 7
07-29 16:24:48.200 I/VOLOG   (27331): 16:24:48.213 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CloseChunkDRMInfo, 937, -lock 7
